ts,attempt,status,elapsed_ms,error
2026-09-14T22:05:44.358+00:00,0,OK,5.6,
2026-09-14T22:05:44.865+00:00,1,OK,6.4,
2026-09-14T22:05:45.370+00:00,2,OK,5.2,
2026-09-14T22:05:45.877+00:00,3,OK,6.7,
2026-09-14T22:05:46.384+00:00,4,OK,7.3,
2026-09-14T22:05:46.890+00:00,5,OK,5.4,
2026-09-14T22:05:47.394+00:00,6,OK,4.2,
2026-09-14T22:05:47.900+00:00,7,OK,5.0,
2026-09-14T22:05:48.406+00:00,8,OK,5.7,
2026-09-14T22:05:48.912+00:00,9,OK,5.8,
2026-09-14T22:05:49.419+00:00,10,OK,6.9,
2026-09-14T22:05:49.925+00:00,11,OK,6.1,
2026-09-14T22:05:50.433+00:00,12,OK,6.8,
2026-09-14T22:05:50.939+00:00,13,OK,5.8,
2026-09-14T22:05:51.444+00:00,14,OK,5.2,
2026-09-14T22:05:51.955+00:00,15,OK,10.4,
2026-09-14T22:05:52.467+00:00,16,OK,11.5,
2026-09-14T22:05:52.973+00:00,17,OK,5.8,
2026-09-14T22:05:53.484+00:00,18,OK,10.6,
2026-09-14T22:05:53.989+00:00,19,OK,5.4,
2026-09-14T22:05:54.499+00:00,20,OK,9.8,
2026-09-14T22:05:55.011+00:00,21,OK,11.7,
2026-09-14T22:05:55.520+00:00,22,OK,8.5,
2026-09-14T22:05:56.027+00:00,23,OK,6.2,
2026-09-14T22:05:56.533+00:00,24,OK,6.1,
2026-09-14T22:05:57.039+00:00,25,OK,5.6,
2026-09-14T22:05:57.550+00:00,26,OK,11.0,
2026-09-14T22:05:58.056+00:00,27,OK,5.1,
2026-09-14T22:05:58.565+00:00,28,OK,9.1,
2026-09-14T22:05:59.069+00:00,29,OK,4.2,
2026-09-14T22:05:59.577+00:00,30,OK,7.3,
2026-09-14T22:06:00.083+00:00,31,OK,6.3,
2026-09-14T22:06:00.591+00:00,32,OK,7.2,
2026-09-14T22:06:01.103+00:00,33,OK,12.4,
2026-09-14T22:06:01.612+00:00,34,OK,8.7,
2026-09-14T22:06:02.118+00:00,35,OK,5.4,
2026-09-14T22:06:02.623+00:00,36,OK,5.0,
2026-09-14T22:06:03.128+00:00,37,OK,5.3,
2026-09-14T22:06:03.633+00:00,38,OK,4.5,
2026-09-14T22:06:04.138+00:00,39,OK,4.8,
2026-09-14T22:06:04.644+00:00,40,OK,5.2,
2026-09-14T22:06:05.148+00:00,41,OK,3.8,
2026-09-14T22:06:05.654+00:00,42,OK,5.8,
2026-09-14T22:06:06.160+00:00,43,OK,5.9,
2026-09-14T22:06:06.667+00:00,44,OK,6.4,
2026-09-14T22:06:07.173+00:00,45,OK,5.6,
2026-09-14T22:06:07.677+00:00,46,OK,4.2,
2026-09-14T22:06:08.187+00:00,47,OK,10.0,
2026-09-14T22:06:08.696+00:00,48,OK,8.4,
2026-09-14T22:06:09.203+00:00,49,OK,6.7,
2026-09-14T22:06:09.710+00:00,50,OK,6.2,
2026-09-14T22:06:10.214+00:00,51,OK,4.6,
2026-09-14T22:06:10.719+00:00,52,OK,4.2,
2026-09-14T22:06:11.223+00:00,53,OK,3.9,
2026-09-14T22:06:11.734+00:00,54,OK,10.7,
2026-09-14T22:06:12.244+00:00,55,OK,9.7,
2026-09-14T22:06:12.756+00:00,56,OK,13.9,
2026-09-14T22:06:13.266+00:00,57,OK,9.6,
2026-09-14T22:06:13.770+00:00,58,OK,3.9,
2026-09-14T22:06:14.275+00:00,59,OK,4.7,
2026-09-14T22:06:14.783+00:00,60,OK,7.7,
2026-09-14T22:06:15.291+00:00,61,OK,7.7,
2026-09-14T22:06:15.797+00:00,62,OK,5.6,
2026-09-14T22:06:16.302+00:00,63,OK,4.7,
2026-09-14T22:06:16.807+00:00,64,OK,4.2,
2026-09-14T22:06:17.311+00:00,65,OK,3.8,
2026-09-14T22:06:17.817+00:00,66,OK,5.6,
2026-09-14T22:06:18.322+00:00,67,OK,5.3,
2026-09-14T22:06:18.826+00:00,68,OK,3.7,
2026-09-14T22:06:19.330+00:00,69,OK,3.5,
2026-09-14T22:06:19.835+00:00,70,OK,4.5,
2026-09-14T22:06:20.340+00:00,71,OK,5.0,
2026-09-14T22:06:20.844+00:00,72,OK,4.3,
2026-09-14T22:06:21.348+00:00,73,OK,3.6,
2026-09-14T22:06:21.853+00:00,74,OK,4.7,
2026-09-14T22:06:22.357+00:00,75,OK,4.0,
2026-09-14T22:06:22.860+00:00,76,OK,2.8,
2026-09-14T22:06:23.366+00:00,77,OK,5.0,
2026-09-14T22:06:23.871+00:00,78,OK,4.9,
2026-09-14T22:06:24.376+00:00,79,OK,5.2,
2026-09-14T22:06:24.882+00:00,80,OK,5.0,
2026-09-14T22:06:25.390+00:00,81,OK,8.1,
2026-09-14T22:06:25.895+00:00,82,OK,4.6,
2026-09-14T22:06:26.404+00:00,83,OK,8.3,
2026-09-14T22:06:26.910+00:00,84,OK,5.2,
2026-09-14T22:06:27.420+00:00,85,OK,10.6,
2026-09-14T22:06:27.925+00:00,86,OK,4.5,
2026-09-14T22:06:28.433+00:00,87,OK,7.1,
2026-09-14T22:06:28.937+00:00,88,OK,3.9,
2026-09-14T22:06:29.443+00:00,89,OK,6.1,
2026-09-14T22:06:29.948+00:00,90,OK,4.6,
2026-09-14T22:06:30.462+00:00,91,OK,13.9,
2026-09-14T22:06:30.968+00:00,92,OK,6.1,
2026-09-14T22:06:31.474+00:00,93,OK,5.5,
2026-09-14T22:06:31.978+00:00,94,OK,3.4,
2026-09-14T22:06:32.486+00:00,95,OK,7.4,
2026-09-14T22:06:32.999+00:00,96,OK,13.0,
2026-09-14T22:06:33.506+00:00,97,OK,6.1,
2026-09-14T22:06:34.011+00:00,98,OK,5.2,
2026-09-14T22:06:34.521+00:00,99,OK,8.9,
2026-09-14T22:06:35.024+00:00,100,OK,3.6,
2026-09-14T22:06:35.530+00:00,101,OK,4.8,
2026-09-14T22:06:36.038+00:00,102,OK,7.8,
2026-09-14T22:06:36.545+00:00,103,OK,7.0,
2026-09-14T22:06:37.053+00:00,104,OK,7.2,
2026-09-14T22:06:37.559+00:00,105,OK,6.2,
2026-09-14T22:06:38.063+00:00,106,OK,3.7,
2026-09-14T22:06:38.569+00:00,107,OK,5.9,
2026-09-14T22:06:39.077+00:00,108,OK,7.6,
2026-09-14T22:06:39.582+00:00,109,OK,4.6,
2026-09-14T22:06:40.091+00:00,110,OK,8.1,
2026-09-14T22:06:40.604+00:00,111,OK,12.3,
2026-09-14T22:06:41.110+00:00,112,OK,5.5,
2026-09-14T22:06:41.615+00:00,113,OK,5.2,
2026-09-14T22:06:42.123+00:00,114,OK,7.2,
2026-09-14T22:06:42.625+00:00,115,OK,3.8,
2026-09-14T22:06:43.131+00:00,116,OK,4.9,
2026-09-14T22:06:43.637+00:00,117,OK,5.7,
2026-09-14T22:06:44.141+00:00,118,OK,3.7,
2026-09-14T22:06:44.643+00:00,119,OK,2.8,
2026-09-14T22:06:45.149+00:00,120,OK,5.1,
2026-09-14T22:06:45.652+00:00,121,OK,3.2,
2026-09-14T22:06:46.156+00:00,122,OK,3.5,
2026-09-14T22:06:46.660+00:00,123,OK,3.7,
2026-09-14T22:06:47.164+00:00,124,OK,4.5,
2026-09-14T22:06:47.670+00:00,125,OK,5.5,
2026-09-14T22:06:48.175+00:00,126,OK,4.6,
2026-09-14T22:06:48.679+00:00,127,OK,3.6,
2026-09-14T22:06:49.184+00:00,128,OK,4.6,
2026-09-14T22:06:49.687+00:00,129,OK,3.4,
2026-09-14T22:06:50.191+00:00,130,OK,3.7,
2026-09-14T22:06:50.699+00:00,131,OK,7.4,
2026-09-14T22:06:51.205+00:00,132,OK,5.4,
2026-09-14T22:06:51.711+00:00,133,OK,6.0,
2026-09-14T22:06:52.216+00:00,134,OK,4.6,
2026-09-14T22:06:52.725+00:00,135,OK,9.5,
