operation,locality,home_region,run,latency_ms
read,local,cr-sj,1,0.966
read,local,cr-sj,2,0.814
read,local,cr-sj,3,0.657
read,local,cr-sj,4,0.621
read,local,cr-sj,5,0.730
read,local,cr-sj,6,0.781
read,local,cr-sj,7,0.579
read,local,cr-sj,8,0.614
read,local,cr-sj,9,0.658
read,local,cr-sj,10,0.703
read,local,cr-sj,11,0.594
read,local,cr-sj,12,0.627
read,local,cr-sj,13,0.509
read,local,cr-sj,14,0.570
read,local,cr-sj,15,0.631
read,local,cr-sj,16,0.559
read,local,cr-sj,17,0.606
read,local,cr-sj,18,0.558
read,local,cr-sj,19,0.662
read,local,cr-sj,20,0.757
read,local,cr-sj,21,0.603
read,local,cr-sj,22,0.582
read,local,cr-sj,23,0.542
read,local,cr-sj,24,0.551
read,local,cr-sj,25,0.565
read,local,cr-sj,26,0.626
read,local,cr-sj,27,0.483
read,local,cr-sj,28,0.588
read,local,cr-sj,29,0.676
read,local,cr-sj,30,0.694
read,local,cr-sj,31,0.636
read,local,cr-sj,32,0.647
read,local,cr-sj,33,0.580
read,local,cr-sj,34,0.821
read,local,cr-sj,35,0.625
read,local,cr-sj,36,0.527
read,local,cr-sj,37,0.569
read,local,cr-sj,38,0.608
read,local,cr-sj,39,0.596
read,local,cr-sj,40,0.503
read,local,cr-sj,41,0.476
read,local,cr-sj,42,0.619
read,local,cr-sj,43,0.624
read,local,cr-sj,44,0.743
read,local,cr-sj,45,0.647
read,local,cr-sj,46,0.759
read,local,cr-sj,47,0.552
read,local,cr-sj,48,0.773
read,local,cr-sj,49,0.492
read,local,cr-sj,50,0.588
read,remote,cr-limon,1,0.873
read,remote,cr-limon,2,0.799
read,remote,cr-limon,3,0.782
read,remote,cr-limon,4,0.856
read,remote,cr-limon,5,1.304
read,remote,cr-limon,6,0.948
read,remote,cr-limon,7,0.818
read,remote,cr-limon,8,0.834
read,remote,cr-limon,9,0.700
read,remote,cr-limon,10,0.694
read,remote,cr-limon,11,0.741
read,remote,cr-limon,12,0.783
read,remote,cr-limon,13,0.735
read,remote,cr-limon,14,0.666
read,remote,cr-limon,15,0.650
read,remote,cr-limon,16,0.680
read,remote,cr-limon,17,0.653
read,remote,cr-limon,18,0.695
read,remote,cr-limon,19,0.633
read,remote,cr-limon,20,0.657
read,remote,cr-limon,21,0.718
read,remote,cr-limon,22,0.892
read,remote,cr-limon,23,1.014
read,remote,cr-limon,24,0.900
read,remote,cr-limon,25,0.773
read,remote,cr-limon,26,0.757
read,remote,cr-limon,27,0.686
read,remote,cr-limon,28,0.744
read,remote,cr-limon,29,0.751
read,remote,cr-limon,30,0.731
read,remote,cr-limon,31,0.687
read,remote,cr-limon,32,0.665
read,remote,cr-limon,33,0.645
read,remote,cr-limon,34,0.752
read,remote,cr-limon,35,0.732
read,remote,cr-limon,36,0.747
read,remote,cr-limon,37,0.691
read,remote,cr-limon,38,0.704
read,remote,cr-limon,39,0.757
read,remote,cr-limon,40,0.755
read,remote,cr-limon,41,0.675
read,remote,cr-limon,42,0.705
read,remote,cr-limon,43,0.636
read,remote,cr-limon,44,0.670
read,remote,cr-limon,45,1.012
read,remote,cr-limon,46,0.916
read,remote,cr-limon,47,0.693
read,remote,cr-limon,48,0.693
read,remote,cr-limon,49,0.699
read,remote,cr-limon,50,0.644
write,local,cr-sj,1,2.375
write,local,cr-sj,2,2.013
write,local,cr-sj,3,2.184
write,local,cr-sj,4,1.897
write,local,cr-sj,5,2.152
write,local,cr-sj,6,2.537
write,local,cr-sj,7,2.456
write,local,cr-sj,8,2.068
write,local,cr-sj,9,2.527
write,local,cr-sj,10,3.255
write,local,cr-sj,11,2.216
write,local,cr-sj,12,2.036
write,local,cr-sj,13,2.195
write,local,cr-sj,14,2.591
write,local,cr-sj,15,2.225
write,local,cr-sj,16,2.135
write,local,cr-sj,17,2.360
write,local,cr-sj,18,2.125
write,local,cr-sj,19,2.257
write,local,cr-sj,20,2.149
write,local,cr-sj,21,2.386
write,local,cr-sj,22,2.196
write,local,cr-sj,23,2.287
write,local,cr-sj,24,2.027
write,local,cr-sj,25,2.058
write,local,cr-sj,26,2.055
write,local,cr-sj,27,2.190
write,local,cr-sj,28,2.289
write,local,cr-sj,29,2.153
write,local,cr-sj,30,2.179
write,local,cr-sj,31,1.945
write,local,cr-sj,32,2.185
write,local,cr-sj,33,2.136
write,local,cr-sj,34,2.142
write,local,cr-sj,35,2.240
write,local,cr-sj,36,2.307
write,local,cr-sj,37,2.162
write,local,cr-sj,38,2.200
write,local,cr-sj,39,2.299
write,local,cr-sj,40,2.096
write,local,cr-sj,41,2.053
write,local,cr-sj,42,2.459
write,local,cr-sj,43,2.318
write,local,cr-sj,44,2.148
write,local,cr-sj,45,2.214
write,local,cr-sj,46,2.082
write,local,cr-sj,47,2.089
write,local,cr-sj,48,2.045
write,local,cr-sj,49,2.113
write,local,cr-sj,50,2.284
write,remote,cr-limon,1,3.507
write,remote,cr-limon,2,3.062
write,remote,cr-limon,3,3.265
write,remote,cr-limon,4,2.968
write,remote,cr-limon,5,2.801
write,remote,cr-limon,6,3.299
write,remote,cr-limon,7,3.206
write,remote,cr-limon,8,3.166
write,remote,cr-limon,9,3.127
write,remote,cr-limon,10,3.398
write,remote,cr-limon,11,2.958
write,remote,cr-limon,12,3.591
write,remote,cr-limon,13,3.446
write,remote,cr-limon,14,3.338
write,remote,cr-limon,15,3.147
write,remote,cr-limon,16,3.194
write,remote,cr-limon,17,2.762
write,remote,cr-limon,18,4.105
write,remote,cr-limon,19,3.196
write,remote,cr-limon,20,2.972
write,remote,cr-limon,21,3.092
write,remote,cr-limon,22,3.276
write,remote,cr-limon,23,3.173
write,remote,cr-limon,24,4.008
write,remote,cr-limon,25,3.191
write,remote,cr-limon,26,3.607
write,remote,cr-limon,27,3.185
write,remote,cr-limon,28,3.456
write,remote,cr-limon,29,3.901
write,remote,cr-limon,30,4.287
write,remote,cr-limon,31,4.157
write,remote,cr-limon,32,4.176
write,remote,cr-limon,33,4.095
write,remote,cr-limon,34,4.565
write,remote,cr-limon,35,3.410
write,remote,cr-limon,36,4.004
write,remote,cr-limon,37,4.471
write,remote,cr-limon,38,3.531
write,remote,cr-limon,39,4.084
write,remote,cr-limon,40,3.611
write,remote,cr-limon,41,3.241
write,remote,cr-limon,42,2.908
write,remote,cr-limon,43,3.399
write,remote,cr-limon,44,2.921
write,remote,cr-limon,45,3.201
write,remote,cr-limon,46,3.164
write,remote,cr-limon,47,3.210
write,remote,cr-limon,48,3.231
write,remote,cr-limon,49,3.001
write,remote,cr-limon,50,3.243
